line,Station_nm,IN_AM,OUT_AM,INOUT_R_AM,IN_LUNCH,OUT_LUNCH,INOUT_R_LUNCH,IN_DINNER,OUT_DINNER,INOUT_R_DINNER,OUT_AM_IN_DINNER_RATIO,IN_AM_OUT_DINNER_RATIO,INOUT_R_NIGHT,OUT_DINNER_IN_NIGHT_RATIO,IN_NIGHT,OUT_NIGHT,06-07 IN,06-07 OUT,07-08 IN,07-08 OUT,08-09 IN,08-09 OUT,09-10 IN,09-10 OUT,11-12 IN,11-12 OUT,12-13 IN,12-13 OUT,13-14 IN,13-14 OUT,16-17 IN,16-17 OUT,17-18 IN,17-18 OUT,18-19 IN,18-19 OUT,19-20 IN,19-20 OUT,20-21 IN,20-21 OUT,21-22 IN,21-22 OUT,22-23 IN,22-23 OUT,23-24 IN,23-24 OUT,00-01 IN,00-01 OUT
2호선,용두(동대문구청),19512,14998,130.0973463,13007,12778,101.7921427,18846,22777,82.7413619,79.58187414,85.66536418,47.04936854,555.8077111,4098,8710,1582,1078,5482,2821,8400,6701,4048,4398,3928,4222,4420,3848,4659,4708,5278,4928,5957,5127,7001,7859,3441,6097,2447,3694,1975,3315,1524,2785,538,2028,61,582
2호선,낙성대,370572,137927,268.6725587,140265,98707,142.1023838,191864,338189,56.73277369,71.88789976,109.5754149,35.88807602,473.8133266,71376,198885,31186,12645,97129,25837,147919,53157,94338,46288,43379,28774,46973,33586,49913,36347,49796,49220,54425,64554,66204,105807,40640,100822,30595,67006,29662,65532,25240,70801,14026,48087,2448,14465
2호선,강남,232828,993292,23.44003576,355203,489449,72.57201465,1163023,783343,148.4691891,85.40604958,29.72235662,337.1412088,110.7835886,707093,209732,26913,60841,51251,188783,82408,371194,72256,372474,90704,155348,115198,151565,149301,182536,203763,160409,268025,196613,407478,278368,268157,206872,219363,101490,267588,83052,288264,69228,128937,43752,22304,13700
2호선,잠실나루,162647,116035,140.1706382,86990,76959,113.034213,123576,148507,83.21223915,93.8976824,109.5214367,46.6826061,452.7376379,32802,70266,14272,11408,48591,25593,62198,45842,37586,33192,28954,22675,30279,26644,27757,27640,35313,26928,40552,32338,40845,48886,22724,41153,19455,26130,18048,25099,9834,24635,4263,15123,657,5409
2호선,뚝섬,98479,251365,39.17768981,72119,88613,81.38647828,262920,142182,184.9179221,95.60512703,69.26263521,129.2449941,210.5932015,67515,52238,10629,16812,26296,33829,37286,134197,24268,66527,21336,27124,23863,29483,26920,32006,39154,32911,52827,37061,114133,49205,60483,35699,35477,20217,33755,18077,22768,17935,9571,11905,1421,4321
2호선,신촌,173550,310948,55.81319063,208584,279666,74.58325288,477469,463390,103.0382615,65.12422796,37.45225404,212.9976721,137.2482814,337629,158513,18996,19933,42004,48173,63689,109908,48861,132934,55606,89312,71609,91450,81369,98904,108843,90021,129658,112676,138361,159884,102881,121822,106569,69008,118835,56107,130233,51013,74678,37966,13883,13427
2호선,성수,110870,481927,23.00555893,93856,113767,82.49843979,434547,166561,260.8936065,110.9033085,66.5642017,165.982281,156.7972361,106227,63999,12120,31850,29717,70810,38224,273702,30809,105565,27279,36614,30580,36160,35997,40993,51835,41154,87412,45179,203353,55365,91793,41517,51989,24500,49540,21594,37593,19714,16733,13956,2361,8735
2호선,서울대입구(관악구청),560121,236721,236.6165232,244288,197498,123.6913792,376675,589569,63.88989245,62.84489281,95.00516479,52.58357057,348.4553326,169195,321764,52785,20362,151643,39918,212019,86798,143674,89643,74994,59179,81319,64433,87975,73886,93936,91273,110150,119273,121634,184534,78841,175298,66050,110464,66306,107930,62005,111868,34899,75207,5985,26759
2호선,홍대입구,302216,351872,85.8880502,281342,478752,58.76570751,816213,938446,86.97495647,43.11031557,32.20387747,203.2538693,142.8902491,656760,323123,40280,22442,78629,45674,101687,130256,81620,153500,80197,131336,93899,161837,107246,185579,166446,200425,199988,236176,236208,303533,190702,248386,189315,150351,229096,119146,255841,101659,151504,74197,20319,28121
2호선,서초,83133,331835,25.05251104,107327,102414,104.7971957,285921,103948,275.0615692,116.0582818,79.97556471,234.1054791,126.512828,82164,35097,8382,23011,17457,57397,27810,139043,29484,112384,33185,39529,32617,29793,41525,33092,55096,27551,72962,28947,121596,35220,55983,25758,35380,14023,41800,12724,29042,12454,9942,7661,1380,2258
2호선,을지로3가,37783,343567,10.99727273,82032,97224,84.37422859,338056,118856,284.4248502,101.6302033,31.78888739,396.3080068,95.78363742,124088,31311,2767,20647,6487,69568,12350,166400,16179,86952,25107,33896,25744,29996,31181,33332,47607,29909,73321,33731,145052,41235,70698,28497,48985,15393,51702,12095,43231,10144,24880,7055,4275,2017
